店舗名,住所,TEL
鶴見中央店,〒230-0051神奈川県横浜市鶴見区鶴見中央2-16-22,045-508-0210
鶴見下野谷町店,〒230-0047神奈川県横浜市鶴見区下野谷町 1-44,045-508-2216
鶴見平安町店,〒230-0031神奈川県横浜市鶴見区平安町 2-7-8,045-508-3275
鶴見大東町店,〒230-0032神奈川県横浜市鶴見区大東町 3-5,045-508-7492
鶴見元宮店,〒230-0004神奈川県横浜市鶴見区元宮 1-17-22,045-570-3270
鶴見下末吉店,〒230-0012神奈川県横浜市鶴見区下末吉 6-10-37,045-570-3166
川崎渡田店,〒210-0837神奈川県川崎市川崎区渡田 2-15-10,044-329-1078
横浜東寺尾店,〒230-0077神奈川県横浜市鶴見区東寺尾 2-6-9,045-571-2800
川崎田島町店,〒210-0853神奈川県川崎市川崎区田島町 16-1,044-328-6105
川崎下平間店,〒212-0053神奈川県川崎市幸区下平間 338-1,044-542-4791
鶴見北寺尾店,〒230-0074神奈川県横浜市鶴見区北寺尾6-32-9,045-570-5281
クリエイト薬局鶴見東寺尾一丁目店,〒230-0077神奈川県横浜市鶴見区東寺尾1-3-12東寺尾メディカルセンター1階,045-580-7066
川崎南加瀬店,〒212-0055神奈川県川崎市幸区南加瀬 3-9-35,044-580-6850
アクロスプラザ東神奈川店,〒221-0001神奈川県横浜市神奈川区西寺尾 1-16-15アクロスプラザ東神奈川1階,045-439-3401
川崎田尻町店,〒211-0014神奈川県川崎市中原区田尻町 67-1,044-540-0067
川崎桜本店,〒210-0833神奈川県川崎市川崎区桜本2-31-19,044-280-0333
川崎平間駅前店,〒211-0015神奈川県川崎市中原区北谷町 4,044-520-3020
菊名調剤薬局店,〒222-0013神奈川県横浜市港北区錦が丘 16-14,045-433-3555
ｸﾘｴｲﾄ薬局港北大倉山店,〒222-0037神奈川県横浜市港北区大倉山1-11-3,045-541-9063
ｸﾘｴｲﾄ薬局日吉中央通り店,〒223-0062神奈川県横浜市港北区日吉本町1-18-18,045-564-8896
港北日吉本町店,〒223-0062神奈川県横浜市港北区日吉本町 4-1-41,045-566-2260
ｸﾘｴｲﾄ薬局日吉本町店,〒223-0062神奈川県横浜市港北区日吉本町 4-12-8,045-564-3050
ウィングキッチン京急蒲田店,〒144-0052東京都大田区蒲田4-50-11　ウィングキッチン京急蒲田 1階,03-5711-7165
港北綱島西店,〒223-0053神奈川県横浜市港北区綱島西 3-22-3,045-534-0366
ｸﾘｴｲﾄ薬局日吉本町駅前店,〒223-0062神奈川県横浜市港北区日吉本町 5-4-3,045-560-3725
横浜反町店,〒221-0825神奈川県横浜市神奈川区反町 2-13-9,045-411-3033
横浜山下公園店,〒231-0023神奈川県横浜市中区山下町27　プロシード山下公園ザ・タワー１階,045-227-6377
川崎下小田中店,〒211-0041神奈川県川崎市中原区下小田中 3-25-14,044-740-0641
港北下田町店,〒223-0064神奈川県横浜市港北区下田町 4-3-10,045-560-2180
川崎小杉陣屋町店,〒211-0062神奈川県川崎市中原区小杉陣屋町 2-6-25,044-739-2636
横浜六角橋店,〒221-0802神奈川県横浜市神奈川区六角橋 4-23-1,045-488-3312
大田区上池台店,〒145-0064東京都大田区上池台 5-37-8,03-5499-4861
大田仲池上店,〒146-0081東京都大田区仲池上1-1-5,03-5748-7560
ｸﾘｴｲﾄ薬局川崎中原店,〒211-0041神奈川県川崎市中原区下小田中2-15-1,044-766-9315
ｸﾘｴｲﾄ薬局京町店,〒223-0057神奈川県横浜市港北区新羽町 1671 イーグル1階,045-549-0744
横浜新羽店,〒223-0057神奈川県横浜市港北区新羽町 1636-1 ﾊﾟﾃｨｵﾜﾝﾋﾞﾙM2F,045-540-0399
大森店,〒143-0015東京都大田区大森西 1-9-12 東武ストア大森店内,03-5753-8501
横浜神大寺店,〒221-0801神奈川県横浜市神奈川区神大寺 4-18-4 ﾊﾟｰｸﾋﾙ神大寺 １Ｆ,045-491-8688
港北高田店,〒223-0066神奈川県横浜市港北区高田西 2-11-30,045-590-2017
大田大森北店,〒143-0016東京都大田区大森北 5-7-18,03-5767-9241
ｸﾘｴｲﾄ薬局ちとせ店,〒213-0022神奈川県川崎市高津区千年 301-1 グランドコスモ千歳101,044-797-2861
川崎千年店,〒213-0022神奈川県川崎市高津区千年 944,044-740-6850
川崎南野川店,〒216-0001神奈川県川崎市宮前区野川 4052,044-750-1280
保土ヶ谷洪福寺店,〒240-0003神奈川県横浜市保土ケ谷区天王町 1-10-1,045-340-2312
横浜東久保町店,〒220-0062神奈川県横浜市西区東久保町10-1,045-250-6377
川崎末長店,〒213-0013神奈川県川崎市高津区末長 4-8-46,044-850-1670
横浜天王町店,〒240-0004神奈川県横浜市保土ケ谷区岩間町 1-1-9 保土ヶ谷矢島ビル,045-331-2441
磯子丸山店,〒235-0011神奈川県横浜市磯子区丸山 2-4-15,045-750-1501
保土ヶ谷常盤台店,〒240-0067神奈川県横浜市保土ケ谷区常盤台29-22　HD-A棟　B1階,045-340-4521
川崎野川店,〒216-0001神奈川県川崎市宮前区野川 2905-1,044-751-2921
横浜保土ヶ谷橋店,〒240-0021神奈川県横浜市保土ケ谷区保土ケ谷町1-5-1,045-730-6330
緑東本郷店,〒226-0002神奈川県横浜市緑区東本郷4-4-1,045-478-1201
川崎東有馬店,〒216-0002神奈川県川崎市宮前区東有馬2-1-10,044-870-3303
保土ヶ谷東川島町店,〒240-0041神奈川県横浜市保土ケ谷区東川島町88-1,045-370-1215
横浜西菅田店,〒221-0864神奈川県横浜市神奈川区菅田町 563-1,045-477-5840
弘明寺観音通り店,〒232-0067神奈川県横浜市南区弘明寺町 259 GM2ビル1階,045-730-5090
保土ヶ谷仏向町店,〒240-0044神奈川県横浜市保土ケ谷区仏向町1048-2,045-339-6511
センター北プレミアヨコハマ店,〒224-0003神奈川県横浜市都筑区中川中央1-30-1　1F,045-914-8585
川崎宮崎台駅前店,〒216-0033神奈川県川崎市宮前区宮崎 2-10-8,044-853-5336
横浜永田台店,〒232-0076神奈川県横浜市南区永田台1-17,045-730-6650
川崎有馬店,〒216-0003神奈川県川崎市宮前区有馬 2-1-3,044-860-3085
川崎宮前平店,〒216-0006神奈川県川崎市宮前区宮前平 2-8-28,044-862-0288
横浜六ツ川店,〒232-0066神奈川県横浜市南区六ツ川2-121-2　2階,045-722-3150
クリエイト薬局宮前土橋店,〒216-0005神奈川県川崎市宮前区土橋1-21-11 ビル・ベルディア 1階,044-870-0231
旭川島町店,〒241-0011神奈川県横浜市旭区川島町2884-1,045-372-3336
川崎宮前区役所前店,〒216-0005神奈川県川崎市宮前区土橋7-1-3　NDY1階,044-870-6611
川崎鷺沼店,〒216-0004神奈川県川崎市宮前区鷺沼1-18-11,044-870-2321
荏田南店,〒224-0007神奈川県横浜市都筑区荏田南 5-8,045-944-1051
戸塚平戸店,〒244-0802神奈川県横浜市戸塚区平戸 3-27-3,045-829-1261
川崎土橋店,〒216-0005神奈川県川崎市宮前区土橋 5-1-1,044-975-7553
ｸﾘｴｲﾄ薬局青葉荏田西店,〒225-0014神奈川県横浜市青葉区荏田西 2-14-5,045-910-6820
旭左近山店,〒241-0014神奈川県横浜市旭区市沢町 1239-1,045-355-1070
青葉あざみ野店,〒225-0003神奈川県横浜市青葉区新石川 1-13-10,045-909-0026
戸塚品濃町店,〒244-0801神奈川県横浜市戸塚区品濃町 560-1,045-820-5191
青葉荏田北店,〒225-0015神奈川県横浜市青葉区荏田北 1-5-1,045-914-3860
ｸﾘｴｲﾄ薬局市ヶ尾在宅センター店,〒225-0014神奈川県横浜市青葉区荏田西1-9-15 2階,045-974-3363
クリエイト薬局市が尾駅東口店,〒225-0024神奈川県横浜市青葉区市ケ尾町1063ドレッセ市が尾ザ・フロント106号,045-979-0051
市ヶ尾店,〒225-0024神奈川県横浜市青葉区市ヶ尾町 1153-5,045-973-5320
旭南本宿店,〒241-0833神奈川県横浜市旭区南本宿町 34-1,045-355-1022
緑森の台店,〒226-0029神奈川県横浜市緑区森の台 7-12,045-929-5907
横浜今宿店,〒241-0031神奈川県横浜市旭区今宿西町 474-1,045-951-2277
緑西八朔店,〒226-0024神奈川県横浜市緑区西八朔町 1196-9,045-929-3841
緑三保町店,〒226-0015神奈川県横浜市緑区三保町 2575-13 久保ﾊｰﾂ1階,045-929-2661
青葉藤が丘店,〒227-0043神奈川県横浜市青葉区藤が丘2-30-1　リテールホーム藤が丘1階,045-978-6401
緑さつきが丘店,〒226-0024神奈川県横浜市緑区西八朔町 356-3,045-930-1801
柿の木台店,〒227-0048神奈川県横浜市青葉区柿の木台 4-7 ﾎﾞﾅｰﾙもえぎ野,045-974-5221
青葉台二丁目店,〒227-0062神奈川県横浜市青葉区青葉台 2-11-18,045-988-1751
横浜希望が丘店,〒241-0826神奈川県横浜市旭区東希望が丘 101-14 山庄ビル,045-392-0196
希望ヶ丘駅南口店,〒241-0825神奈川県横浜市旭区中希望が丘 100-4,045-360-1721
